Player,Market,Line,Odds
Jared Goff,pass_yds,270,-104
Josh Allen,pass_yds,260,113
Tyler Shough,pass_yds,250,104
Lamar Jackson,pass_yds,230,110
Jalen Hurts,pass_yds,210,-101
Cameron Ward,pass_yds,190,-111
Baker Mayfield,pass_yds,210,-113
Deshaun Watson,pass_yds,180,100
Jordan Love,pass_yds,260,-108
Geno Smith,pass_yds,210,-108
Carson Wentz,pass_yds,220,-102
Caleb Williams,pass_yds,230,101
Drake Maye,pass_yds,230,-101
Aaron Rodgers,pass_yds,210,-108
Bryce Young,pass_yds,220,-105
Joe Burrow,pass_yds,250,-109
C.J. Stroud,pass_yds,240,102
Justin Herbert,pass_yds,230,106
Kirk Cousins,pass_yds,200,105
