season,week,slate,ticket,hand_built,player,team,opp,market,rung,grade,clear_pct,model_pct,published,closing,clv_pts,actual,hit,hit_standard,early_exit,pnl_1u,miss_by
2026,2,mnf,MNF,True,Kyren Williams,LA,NYG,rush_att,12.0,,,,-280,,,12.0,True,True,False,0.35714285714285715,
2026,2,mnf,MNF,True,Matthew Stafford,LA,NYG,pass_att,28.0,,,,-455,,,31.0,True,True,False,0.21978021978021978,
2026,2,mnf,MNF,True,Jaxson Dart,NYG,LA,rush_yds,20.0,,,,-365,,,0.0,,False,True,,
2026,2,mnf,MNF,True,Davante Adams,LA,NYG,rec_yds,40.0,,,,-130,,,195.0,True,True,False,0.7692307692307693,
2026,2,sun,SUN-1,True,Derrick Henry,BAL,NO,rush_yds,70.0,,,,-294,,,68.0,False,False,False,-1.0,2.0
2026,2,sun,SUN-1,True,Bijan Robinson,ATL,CAR,rush_yds,70.0,,,,-188,,,72.0,True,True,False,0.5319148936170213,
2026,2,sun,SUN-1,True,Brock Purdy,SF,MIA,pass_att,27.0,,,,-260,,,22.0,False,False,False,-1.0,5.0
2026,2,sun,SUN-2,True,Jakobi Meyers,JAX,DEN,rec_yds,25.0,,,,-177,,,28.0,True,True,False,0.5649717514124294,
2026,2,sun,SUN-2,True,Tee Higgins,CIN,HOU,rec_yds,40.0,,,,-216,,,95.0,True,True,False,0.46296296296296297,
2026,2,sun,SUN-2,True,Caleb Williams,CHI,MIN,pass_att,28.0,,,,-338,,,26.0,,False,True,,
2026,2,sun,SUN-3,True,Trevor Lawrence,JAX,DEN,pass_yds,190.0,,,,-327,,,189.0,False,False,False,-1.0,1.0
2026,2,sun,SUN-3,True,Brian Thomas Jr.,JAX,DEN,rec_yds,25.0,,,,-181,,,40.0,True,True,False,0.5524861878453039,
2026,2,sun,SUN-3,True,Rashee Rice,KC,IND,receptions,4.0,,,,-314,,,4.0,True,True,False,0.3184713375796178,
