season,week,home,away,vs,market,model,edge,side,won,clv,pnl
2022,1,Northwestern,Nebraska,open,10.0,8.1,1.9,HOME,1,2.5,0.909
2022,1,Northwestern,Nebraska,close,12.5,8.1,4.4,HOME,1,,0.909
2022,1,Utah State,UConn,open,-25.0,-15.5,9.5,AWAY,1,-1.0,0.909
2022,1,Utah State,UConn,close,-24.0,-15.5,8.5,AWAY,1,,0.909
2022,1,Illinois,Wyoming,open,-9.5,-4.5,5.0,AWAY,0,4.5,-1.0
2022,1,Illinois,Wyoming,close,-14.0,-4.5,9.6,AWAY,0,,-1.0
2022,1,Florida Atlantic,Charlotte,open,-5.5,-6.8,1.3,HOME,1,-1.5,0.909
2022,1,Florida Atlantic,Charlotte,close,-7.0,-6.8,0.2,AWAY,0,,-1.0
2022,1,UTEP,North Texas,open,3.0,-3.8,6.8,HOME,0,-1.5,-1.0
2022,1,UTEP,North Texas,close,1.5,-3.8,5.2,HOME,0,,-1.0
2022,1,New Mexico State,Nevada,open,14.0,11.3,2.7,HOME,1,-7.0,0.909
2022,1,New Mexico State,Nevada,close,7.0,11.3,4.3,AWAY,1,,0.909
2022,1,Hawai'i,Vanderbilt,open,4.5,-11.1,15.6,HOME,0,4.5,-1.0
2022,1,Hawai'i,Vanderbilt,close,9.0,-11.1,20.1,HOME,0,,-1.0
2022,1,Oklahoma State,Central Michigan,open,-18.5,-11.7,6.8,AWAY,1,2.0,0.909
2022,1,Oklahoma State,Central Michigan,close,-20.5,-11.7,8.8,AWAY,1,,0.909
2022,1,Tennessee,Ball State,open,-28.0,-16.9,11.1,AWAY,0,7.5,-1.0
2022,1,Tennessee,Ball State,close,-35.5,-16.9,18.6,AWAY,0,,-1.0
2022,1,Pittsburgh,West Virginia,close,-7.5,-10.5,3.0,HOME,0,,-1.0
2022,1,Purdue,Penn State,open,3.0,-0.6,3.6,HOME,0,0.5,-1.0
2022,1,Purdue,Penn State,close,3.5,-0.6,4.1,HOME,0,,-1.0
2022,1,Missouri,Louisiana Tech,open,-17.0,-9.9,7.1,AWAY,0,3.5,-1.0
2022,1,Missouri,Louisiana Tech,close,-20.5,-9.9,10.6,AWAY,0,,-1.0
2022,1,Minnesota,New Mexico State,close,-36.0,-21.9,14.1,AWAY,0,,-1.0
2022,1,Old Dominion,Virginia Tech,open,7.0,2.3,4.7,HOME,1,-1.0,0.909
2022,1,Old Dominion,Virginia Tech,close,6.0,2.3,3.7,HOME,1,,0.909
2022,1,Michigan State,Western Michigan,open,-19.0,-7.9,11.1,AWAY,0,2.5,-1.0
2022,1,Michigan State,Western Michigan,close,-21.5,-7.9,13.6,AWAY,0,,-1.0
2022,1,Duke,Temple,open,-6.5,-5.4,1.1,AWAY,0,3.0,-1.0
2022,1,Duke,Temple,close,-9.5,-5.4,4.1,AWAY,0,,-1.0
2022,1,Indiana,Illinois,close,-1.0,3.4,4.4,AWAY,0,,-1.0
2022,1,Colorado,TCU,open,8.0,2.1,5.9,HOME,0,5.5,-1.0
2022,1,Colorado,TCU,close,13.5,2.1,11.4,HOME,0,,-1.0
2022,1,East Carolina,NC State,open,10.5,5.2,5.3,HOME,1,2.0,0.909
2022,1,East Carolina,NC State,close,12.5,5.2,7.3,HOME,1,,0.909
2022,1,Boston College,Rutgers,open,-7.5,-4.5,3.0,AWAY,1,1.5,0.909
2022,1,Boston College,Rutgers,close,-9.0,-4.5,4.5,AWAY,1,,0.909
2022,1,Maryland,Buffalo,open,-20.5,-10.4,10.1,AWAY,0,3.5,-1.0
2022,1,Maryland,Buffalo,close,-24.0,-10.4,13.6,AWAY,1,,0.909
2022,1,Michigan,Colorado State,open,-28.5,-15.5,13.0,AWAY,0,2.5,-1.0
2022,1,Michigan,Colorado State,close,-31.0,-15.5,15.5,AWAY,0,,-1.0
2022,1,App State,North Carolina,open,3.5,-4.6,8.1,HOME,1,-6.5,0.909
2022,1,App State,North Carolina,close,-3.0,-4.6,1.6,HOME,0,,-1.0
2022,1,UCLA,Bowling Green,open,-30.0,-13.5,16.5,AWAY,1,-6.0,0.909
2022,1,UCLA,Bowling Green,close,-24.0,-13.5,10.5,AWAY,0,,-1.0
2022,1,Arkansas,Cincinnati,open,-7.5,1.1,8.6,AWAY,1,-1.0,0.909
2022,1,Arkansas,Cincinnati,close,-6.5,1.1,7.6,AWAY,0,,-1.0
2022,1,Georgia,Oregon,open,-17.0,-13.5,3.5,AWAY,0,-1.0,-1.0
2022,1,Georgia,Oregon,close,-16.0,-13.5,2.5,AWAY,0,,-1.0
2022,1,San Diego State,Arizona,open,-7.0,-13.0,6.0,HOME,0,0.5,-1.0
2022,1,San Diego State,Arizona,close,-6.5,-13.0,6.5,HOME,0,,-1.0
2022,1,Wyoming,Tulsa,open,2.0,-0.0,2.0,HOME,1,4.5,0.909
2022,1,Wyoming,Tulsa,close,6.5,-0.0,6.5,HOME,1,,0.909
2022,1,UTSA,Houston,open,6.5,-0.4,6.9,HOME,1,-3.0,0.909
2022,1,UTSA,Houston,close,3.5,-0.4,3.9,HOME,1,,0.909
2022,1,Oklahoma,UTEP,open,-37.0,-13.1,23.9,AWAY,1,-6.0,0.909
2022,1,Oklahoma,UTEP,close,-31.0,-13.1,17.9,AWAY,0,,-1.0
2022,1,South Florida,BYU,open,12.5,7.9,4.6,HOME,0,-1.0,-1.0
2022,1,South Florida,BYU,close,11.5,7.9,3.6,HOME,0,,-1.0
2022,1,Ole Miss,Troy,open,-21.0,-13.2,7.8,AWAY,1,0.5,0.909
2022,1,Ole Miss,Troy,close,-21.5,-13.2,8.2,AWAY,1,,0.909
2022,1,Nevada,Texas State,open,-10.0,-12.4,2.4,HOME,1,12.0,0.909
2022,1,Nevada,Texas State,close,2.0,-12.4,14.4,HOME,1,,0.909
2022,1,USC,Rice,open,-34.5,-13.7,20.8,AWAY,0,-2.0,-1.0
2022,1,USC,Rice,close,-32.5,-13.7,18.8,AWAY,0,,-1.0
2022,1,Ohio,Florida Atlantic,open,1.5,0.6,0.9,HOME,1,4.5,0.909
2022,1,Ohio,Florida Atlantic,close,6.0,0.6,5.4,HOME,1,,0.909
2022,1,Florida,Utah,open,0.0,-0.5,0.5,HOME,1,2.5,0.909
2022,1,Florida,Utah,close,2.5,-0.5,3.0,HOME,1,,0.909
2022,1,Southern Miss,Liberty,open,4.0,8.7,4.7,AWAY,0,0.5,-1.0
2022,1,Southern Miss,Liberty,close,3.5,8.7,5.2,AWAY,0,,-1.0
2022,1,Coastal Carolina,Army,open,-3.0,-6.8,3.8,HOME,1,1.5,0.909
2022,1,Coastal Carolina,Army,close,-1.5,-6.8,5.3,HOME,1,,0.909
2022,1,Kentucky,Miami (OH),open,-21.0,-8.6,12.4,AWAY,0,-6.0,-1.0
2022,1,Kentucky,Miami (OH),close,-15.0,-8.6,6.4,AWAY,0,,-1.0
2022,1,Tulane,Massachusetts,open,-31.0,-15.3,15.7,AWAY,0,-2.5,-1.0
2022,1,Tulane,Massachusetts,close,-28.5,-15.3,13.2,AWAY,0,,-1.0
2022,1,Mississippi State,Memphis,open,-13.5,-7.3,6.2,AWAY,0,3.5,-1.0
2022,1,Mississippi State,Memphis,close,-17.0,-7.3,9.7,AWAY,0,,-1.0
2022,1,South Carolina,Georgia State,open,-11.0,-3.6,7.3,AWAY,0,1.5,-1.0
2022,1,South Carolina,Georgia State,close,-12.5,-3.6,8.8,AWAY,0,,-1.0
2022,1,Ohio State,Notre Dame,open,-14.5,-8.6,5.9,AWAY,1,2.5,0.909
2022,1,Ohio State,Notre Dame,close,-17.0,-8.6,8.4,AWAY,1,,0.909
2022,1,Alabama,Utah State,open,-34.0,-15.5,18.5,AWAY,0,8.0,-1.0
2022,1,Alabama,Utah State,close,-42.0,-15.5,26.5,AWAY,0,,-1.0
